S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
415,Lucas Chevalier,FRA,GK,Lille,Ligue 1,20,2001,3,3,270,3,0,0,0,0,0,0,0,0,0,0,13.3,25,53.3,371.7,264.3,3,3,100,5,5,100,5.33,17,31.4,0,0,0,0,0,0,25,19,6,3,0,7.33,0,0,0,0,0,0,9.67,0.33,15,0.67,21,0,0,3.33,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,24,27.7,0,0,0,22,0,0,0,0,0,11.3,37.3,18.3,0,0,0,0,0,13,13,100,0,0,0,0,0,0.33,0,0,0,0,0,0,3,0,0,0
416,Ben Chilwell,ENG,DF,Chelsea,Premier League,25,1996,6,2,212,2.4,0.42,0.83,0.42,50,0.5,1,12.4,0,0,0,52.1,62.5,83.3,848.3,194.6,26.7,28.3,94.1,19.6,21.7,90.4,5,9.58,52.2,0.42,0.42,1.25,1.25,1.25,0.83,62.5,50.8,11.7,1.25,0,5.42,1.25,2.08,1.25,0.83,0,0,38.3,11.7,12.5,44.2,6.25,2.5,9.17,0,52.1,0,0,0.42,2.5,0.83,0.42,0,0,0,0.42,0,0.83,0.42,0,0,0,0.42,0,2.5,0.42,1.67,0.42,0.42,2.08,2.92,71.4,0.83,15.8,2.5,15.8,7.92,5.83,2.08,1.25,0,0,1.25,2.08,4.58,3.33,0,77.1,1.25,19.2,29.6,32.1,2.08,65.8,0,0.42,0,0,0,46.3,160.4,75.8,4.17,1.25,0.42,1.67,2.08,52.5,47.9,91.3,5.42,0,0,0,1.67,2.5,0,2.08,0.42,0.42,0,0,7.08,2.5,1.67,60
417,Vlad Chiriche?,ROU,DF,Cremonese,Serie A,32,1989,5,5,342,3.8,0,0,0,0,0,0,0,0,0,0,26.1,30.3,86.1,533.9,210.5,8.42,8.68,97,13.4,15.5,86.4,3.42,5,68.4,0,0.26,1.32,0,0,1.05,30.3,28.7,1.58,1.32,0,5,0.26,0,0,0,0,0,23.2,1.58,5.53,3.68,23.4,1.32,0,0,26.1,0,0.26,0.26,0.26,0.53,0.53,0,0,0,0,0,0.26,0.26,0,0,0,0,0,4.74,2.63,2.89,1.58,0.26,0.79,1.84,42.9,1.05,17.9,5.53,30.9,11.3,6.05,0.53,3.68,1.84,0,1.84,2.11,6.84,2.37,0,43.7,9.21,26.6,18.7,0.53,0.26,42.1,0,0,0,0,0,21.3,94.5,49.2,0.53,0,0,0.26,0.26,19.5,19.2,98.6,0,0.26,0,0,2.11,0.53,0,0,2.63,0,0,0,7.89,2.37,3.68,39.1
418,Pedro Chirivella,ESP,MF,Nantes,Ligue 1,25,1997,8,8,686,7.6,0,0.92,0.26,28.6,0,0,19.7,0,0,0,56.7,66.1,85.9,1093.3,280.9,26.6,27.8,95.7,20.8,22.9,90.8,8.16,13.3,61.4,0,1.05,9.21,0.53,0,4.74,66.1,63,3.03,2.11,0,6.45,3.16,0.26,0,0,0,0,50,2.76,13.3,7.5,56.7,1.05,0,0.26,56.7,0.26,1.45,1.84,0.66,1.97,1.58,0,0.13,0.13,0,0.13,0,0,0,0,0,0,0,1.45,1.32,0.66,0.39,0.39,0.53,1.58,33.3,1.05,15.3,4.08,26.7,4.34,6.84,4.08,0.26,0,0,0.26,1.58,3.03,0.13,0,71.8,0.39,12.1,53,10,0.66,68.8,0.53,0.53,100,0.53,0.13,47.1,208.7,86.4,3.82,0.92,0,0.13,1.05,58.7,57.4,97.8,1.84,0.13,0,0,0.66,0.66,0,0.26,1.32,0,0,0,6.58,0.66,0.66,50
419,Joris Chotard,FRA,MF,Montpellier,Ligue 1,21,2001,8,8,681,7.6,0,0.39,0,0,0,0,25.2,0,0,0,34.2,40.4,84.7,687.9,193.8,12.4,14.1,87.9,15.9,17.1,93.1,5.26,8.03,65.6,0.13,1.05,3.16,0.39,0.13,3.29,40.4,39.1,1.32,1.18,0.26,5,1.18,0.39,0,0,0,0,27.9,4.08,8.42,3.16,35.3,1.18,0.13,0.13,34.2,0.13,0.39,0.92,0.53,1.45,1.18,0.13,0,0,0,0.13,0.26,0.26,0,0,0,0,0,1.71,0.79,0.92,0.79,0,1.05,2.89,36.4,1.84,11.4,2.76,24.1,5.39,4.87,1.18,1.71,0.39,0,1.32,1.45,3.16,1.05,0,48.6,2.89,16.8,30,5.26,0.39,47.4,0.39,0.92,42.9,0.53,0,30.5,114.1,58,1.05,0.66,0,0.66,0.53,33.3,32,96,1.05,0.26,0,0,2.11,0.53,0.13,0.39,0.79,0,0,0,8.29,0.66,0.53,55.6
420,Andreas Christensen,DEN,DF,Barcelona,La Liga,26,1996,3,3,239,2.7,0,0.37,0,0,0,0,5.7,0,0,0,86.7,92.2,94,1762.2,420.4,26.3,27.8,94.7,46.7,48.1,96.9,12.6,15.2,82.9,0,0,3.7,0,0,2.59,92.2,90.7,1.48,0.74,0,5.19,1.48,0,0,0,0,0,83.7,3.33,5.19,5.93,83,0.74,0.37,0,86.7,0,0.74,1.85,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.74,0,0.74,5.56,2.22,40,1.85,3.33,0.37,0.74,0,0,0.74,1.48,1.85,2.22,0,97.8,10,42.2,59.3,1.85,0.37,96.7,0,0,0,0,0,76.7,460,233.3,5.93,1.48,0,0,0,82.6,82.6,100,0.37,0.37,0,0,0.37,0.74,0,0,0,0,0,0,8.52,2.59,0.37,87.5
421,Oliver Christensen,DEN,GK,Hertha BSC,Bundesliga,23,1999,8,8,720,8,0,0,0,0,0,0,0,0,0,0,27.9,38.4,72.6,877.5,574.5,3.88,3.88,100,12.9,13.1,98.1,11,21.3,51.8,0,0,0.38,0,0,0,38.4,26.4,12,4.63,0,0.88,0.63,0,0,0,0,0,20.9,0.75,16.8,4.25,25.8,0,0,6.13,27.9,0,0.5,0.25,0,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.13,0,41.8,33.3,41.8,0,0,0,29.8,0,0.13,0,0,0,19.3,93.6,47.9,0,0,0,0,0,16,16,100,0,0.13,0,0,0,0.38,0,0,0,0,0,0,6.38,0,0,0
422,Ryan Christie,SCO,MFFW,Bournemouth,Premier League,27,1995,9,6,502,5.6,0.18,2.14,0.71,33.3,0.08,0.25,14.4,0,0,0,23.9,29.3,81.7,415.5,78.9,10.2,12,85.1,10.4,11.4,90.6,2.14,3.93,54.5,0,0.71,1.43,0.89,0,3.21,29.3,28.6,0.71,0.18,0,5.36,0.71,0.18,0.36,0,0.18,0,23.2,3.39,2.68,22.9,5,0.71,0.18,0.18,23.9,0.18,0,1.07,0.71,1.96,1.61,0,0.18,0,0.18,0,0,0,0,0,0,0,0,1.79,1.25,0.71,1.07,0,0.71,2.68,26.7,1.96,22.3,4.29,19.2,7.5,10.4,4.46,1.07,0.36,0,0.71,1.79,3.57,1.07,0,43.4,1.96,11.8,22.3,14.5,3.39,42.7,1.96,3.04,64.7,2.14,0.36,31.4,202.5,102.3,3.21,2.32,0.36,2.32,1.61,34.1,27.3,80.1,2.86,0.18,0,0,2.68,3.04,0,0.18,1.25,0,0,0,8.57,0.89,1.25,41.7
423,Carney Chukwuemeka,ENG,MF,Chelsea,Premier League,18,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,10,10,100,330,150,0,0,0,0,0,0,10,10,100,0,0,10,0,0,10,10,10,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,10,30,0,0,0,0,0,0,0,0,0,30,0,10,30,0,0,30,0,0,0,0,0,20,440,400,0,0,0,0,0,20,20,100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
424,Samuel Chukwueze,NGA,MF,Villarreal,La Liga,23,1999,7,1,205,2.3,0,3.04,0.43,14.3,0,0,17.8,0,0,0,23.5,31.7,74,415.7,112.6,10,12.2,82.1,9.57,13.5,71,3.04,4.35,70,0.43,3.48,0.43,2.61,0.43,3.48,31.7,30.9,0.87,0,0,4.35,0.87,3.04,0.43,0,0,0,25.7,3.48,2.61,27.8,2.61,0.87,0.43,0,23.5,0,1.74,0.43,1.3,5.65,3.91,0,1.3,0,0.43,0,0.87,0.43,0,0.43,0,0,0,1.3,0.87,0.43,0,0.87,0.87,2.17,40,1.3,11.7,2.61,22.2,4.78,4.35,2.61,0.87,0,0,0.87,0.87,2.17,2.61,0,50.9,3.48,9.13,16.5,29.6,7.83,50,3.48,9.13,38.1,3.91,1.3,44.3,270.4,195.7,11.3,2.17,3.04,1.74,0.87,48.7,38.7,79.5,8.26,0,0,0,1.3,3.04,0.87,3.04,0.87,0,0,0,4.35,0.43,0,100
425,Darko Churlinov,MKD,FW,Stuttgart,Bundesliga,22,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,3.33,3.33,100,43.3,0,3.33,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,3.33,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,3.33,0,3.33,6.67,50,3.33,23.3,6.67,28.6,3.33,16.7,3.33,0,0,0,0,0,3.33,0,0,10,0,0,10,0,0,10,0,0,0,0,0,3.33,0,0,0,0,0,3.33,0,23.3,3.33,14.3,0,0,0,0,0,3.33,0,0,0,0,0,0,3.33,0,3.33,0
426,Víctor Chust,ESP,DF,Cádiz,La Liga,22,2000,6,5,495,5.5,0,0,0,0,0,0,0,0,0,0,34.7,40,86.8,804.5,268,8.55,8.91,95.9,16.7,18.4,91.1,8.73,11.6,75,0,0,2.73,0,0,1.82,40,37.8,2.18,1.82,0,4.55,2.55,0,0,0,0,0,29.6,3.09,7.27,8.55,28,2.36,0.36,0,34.7,0.55,0.18,0.18,0.36,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.36,0.55,0,0,0.55,0.73,75,0.18,7.64,3.27,42.9,4.55,2.73,0.36,1.64,0.36,0,1.27,2.55,3.09,5.27,0,50,7.27,30.2,21.5,1.27,0.36,47.8,0.36,0.55,66.7,0.36,0,27.6,153.3,48.2,1.27,0.18,0,0.18,0,28.5,27.8,97.5,0.18,0.18,0,0,1.09,0,0,0,0.36,0,0.18,0,8.91,2,1.64,55
427,Yanis Cimignani,FRA,MFDF,Ajaccio,Ligue 1,20,2002,7,3,274,3,0,2,0.67,33.3,0,0,24.8,0,0,0,27,39.7,68.1,450,98,15.3,17.3,88.5,7.67,13,59,3,5.33,56.3,0,1,0.67,0.67,0.67,1,39.7,35.3,4.33,0.33,0,6.67,1,3,0.67,0.67,0,0,23,9,7.67,29.3,4,2,3.33,0,27,0,0.33,1.67,3,3,2.67,0.33,0,0,0,0,0,0,0,0,0,0,0,2.67,1.67,1.33,1,0.33,0.33,1.33,25,1,16.3,6.67,40.8,4.33,10,2,2,0.33,0,1.67,1,3.67,0.67,0,52,1.67,9.67,23.3,22.7,1,47.7,0.67,1,66.7,1,0,31.7,172.7,81,4.67,1,0,0.67,2,35.3,30.7,86.8,3.67,0,0,0,1.67,0.67,0,3,1.67,0,0,0,9.33,1,3.67,21.4
428,Daniel Ciofani,ITA,FW,Cremonese,Serie A,37,1985,5,1,92,1,1,2,1,50,0,0,15.4,0,1,1,12,24,50,166,54,6,8,75,6,12,50,0,1,0,0,1,2,2,0,2,24,23,1,0,1,10,0,0,0,0,0,0,10,8,6,5,9,2,0,1,12,1,2,0,1,5,4,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,3,33.3,2,22,4,18.2,1,7,14,1,0,0,1,0,1,0,0,37,0,1,18,20,9,35,0,1,0,0,0,17,37,14,2,2,0,2,2,55,27,49.1,7,0,0,0,1,3,1,0,1,0,0,0,4,8,13,38.1
429,Pathé Ciss,SEN,MFDF,Rayo Vallecano,La Liga,28,1994,8,5,489,5.4,0.19,1.11,0.56,50,0.17,0.33,21.2,0,0,0,43.9,50.2,87.5,974.4,241.7,12.2,13.1,93,22.8,25.2,90.4,8.89,11.1,80,0,0.19,3.7,0,0,3.33,50.2,48,2.22,2.22,0,5.37,2.59,0,0,0,0,0,40.2,4.07,5.93,6.11,40.6,1.85,0,0.56,43.9,0.37,0.93,1.48,0.93,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0,0,2.96,2.59,0.74,2.04,0.19,0.93,2.22,41.7,1.3,13.1,5,38,5,7.78,0.37,2.22,1.67,0,0.56,1.48,4.44,3.7,0,63.9,5.74,24.1,38.9,5.37,1.11,61.7,0.37,0.74,50,0.37,0,39.6,228.7,114.8,4.07,0.93,0,0.93,0.93,40.4,39.3,97.2,0.19,0.56,0,0,2.59,1.11,0,0,2.59,0,0,0,10.2,2.04,2.22,47.8
430,Souleymane Cissé,FRA,DF,Clermont Foot,Ligue 1,20,2002,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Patrick Ciurria,ITA,DFMF,Monza,Serie A,27,1995,6,2,260,2.9,0,2.41,0.34,14.3,0,0,21.5,0,0,0,39,46.2,84.3,688.6,163.1,18.3,20.3,89.8,16.2,18.3,88.7,3.45,6.21,55.6,0.69,1.38,1.38,1.38,1.03,1.38,46.2,38.6,7.59,0.69,0,2.07,1.38,3.45,0.69,0,0,0,29.3,9.31,7.59,27.2,11,1.72,5.86,0,39,0.69,0.69,1.38,0.34,3.45,3.1,0,0,0.34,0,0,0.69,0.69,0,0,0,0,0,0.69,0.69,0,0.69,0,0,1.72,0,1.72,10,2.41,24.1,2.07,5.52,2.41,1.03,0,0,1.03,0.34,1.03,1.03,0,54.8,0.34,13.1,23.8,23.1,3.1,47.6,0,0.34,0,0,0,38.6,215.9,130.3,7.59,2.76,0.69,2.07,0.69,42.4,38.3,90.2,4.48,0.69,0,0,2.41,1.72,0.34,3.45,0.69,0,0,0,6.21,0.34,0,100
432,Bobby Clark,ENG,MF,Liverpool,Premier League,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,10,10,100,280,200,0,0,0,10,10,100,0,0,0,0,0,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,20,10,10,30,20,0,0,20,0,0,0,0,60,0,0,10,60,10,60,0,20,0,0,0,30,0,0,0,0,0,10,0,40,30,75,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0
433,Alexis Claude-Maurice,FRA,MFFW,Lens,Ligue 1,24,1998,4,0,80,0.9,0,1.11,0,0,0,0,22.8,0,0,0,33.3,37.8,88.2,421.1,50,22.2,22.2,100,11.1,13.3,83.3,0,2.22,0,0,1.11,0,0,0,1.11,37.8,37.8,0,0,0,7.78,1.11,1.11,0,0,0,0,32.2,4.44,1.11,4.44,33.3,0,0,0,33.3,0,2.22,2.22,0,3.33,1.11,0,1.11,0,0,1.11,0,0,0,0,0,0,0,3.33,2.22,1.11,1.11,1.11,0,1.11,0,1.11,11.1,4.44,40,1.11,5.56,4.44,0,0,0,0,3.33,6.67,0,0,57.8,1.11,11.1,31.1,22.2,4.44,57.8,1.11,5.56,20,2.22,0,46.7,202.2,115.6,5.56,1.11,0,2.22,3.33,51.1,46.7,91.3,8.89,0,0,0,0,2.22,0,1.11,2.22,0,0,0,4.44,0,1.11,0
434,Alexis Claude-Maurice,FRA,FWMF,Nice,Ligue 1,24,1998,2,1,64,0.7,0,2.86,0,0,0,0,25,0,0,0,21.4,25.7,83.3,297.1,17.1,14.3,15.7,90.9,5.71,7.14,80,1.43,1.43,100,0,1.43,0,0,0,0,25.7,25.7,0,0,0,5.71,0,0,0,0,0,0,21.4,0,4.29,1.43,21.4,1.43,0,0,21.4,0,0,2.86,0,2.86,2.86,0,0,0,0,0,0,0,0,0,0,0,0,1.43,1.43,0,1.43,0,1.43,1.43,100,0,15.7,1.43,9.1,1.43,11.4,2.86,0,0,0,0,2.86,4.29,0,0,41.4,2.86,7.14,25.7,12.9,0,41.4,0,0,0,0,0,32.9,142.9,42.9,2.86,2.86,0,4.29,2.86,34.3,28.6,83.3,1.43,0,0,0,0,2.86,0,0,1.43,0,0,0,8.57,1.43,0,100
435,Jonathan Clauss,FRA,DF,Marseille,Ligue 1,30,1992,9,9,728,8.1,0.12,1.73,0.49,28.6,0.07,0.25,16.9,0,0,0,39.4,51.4,76.7,671.5,264.6,17.9,21,85.3,17.8,21.4,83.2,2.84,5.93,47.9,0.49,1.48,2.84,1.85,0.99,4.32,51.4,41.2,10.1,0.86,0,3.09,1.85,3.58,0.74,0.12,0.49,0,29.8,12.3,9.26,7.65,34.1,0.74,8.52,0.12,39.4,0,1.23,2.22,2.1,3.21,2.47,0.12,0,0.49,0,0.12,0.74,0.49,0,0,0.12,0,0.12,1.6,0.86,0.49,0.62,0.49,0.37,1.98,18.8,1.6,9.88,1.98,20,3.21,3.7,2.96,1.23,0,0,1.23,1.85,3.46,1.73,0,63.8,1.98,14.6,26.9,26.8,4.32,53.8,0.74,1.85,40,0.86,0.12,36.8,215.3,138.6,6.79,1.73,1.23,1.36,1.6,43.6,37.5,86.1,4.44,0,0,0,1.11,0.86,0.12,3.58,0.86,0,0,0,8.77,0.37,1.23,23.1
436,Carlos Clerc,ESP,DF,Elche,La Liga,30,1992,3,3,270,3,0,1,0.33,33.3,0,0,16.6,0,0,0,27.3,37,73.9,393,174.3,17,18.3,92.7,9,11.3,79.4,0.67,5,13.3,0,0,1.33,0,0,2.33,37,28,9,0.33,0,4.33,0,2,0,0,0,0,17,10.3,9.67,23.7,1,3.33,8.67,0.33,27.3,0,1,0.33,1.67,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,2.33,2,2,0.33,0,0.67,0.67,100,0,9,3,33.3,5.33,3.33,0.33,2.33,0.33,0,2,2.33,4.67,2.33,0,49.3,8,19,20,12.7,1.67,40.3,0.67,1,66.7,0.67,0.33,21.7,130,68.3,3,1.33,0,0.33,1,27.7,24.3,88,1,0.33,0,0,0.33,0.67,0.33,2,2,0,0,0,5,0,0.67,0
437,Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,31,1991,6,5,413,4.6,0,0,0,0,0,0,0,0,0,0,34.8,42.4,82.1,592.8,235.7,14.6,15.9,91.8,18,21.7,83,1.74,3.91,44.4,0,0.43,2.61,0,0,2.17,42.4,33,9.35,0.43,0,3.04,0.43,1.09,0,0,0,0,23.9,9.78,8.7,2.61,27.4,2.83,8.91,0.22,34.8,0,0.87,0.43,0.43,1.09,0.87,0.22,0,0,0,0,0,0,0,0,0,0,0,1.74,0.65,1.09,0.43,0.22,0.65,0.87,75,0.22,8.04,1.74,21.6,3.7,3.7,0.65,1.96,0.43,0,1.52,1.09,2.83,1.3,0,49.1,2.61,16.7,24.8,10,0.22,39.8,0.43,0.65,66.7,0.43,0,24.8,107.4,63.7,2.39,0.87,0,0.65,0,29.6,27.2,91.9,0,0.22,0,0,0.43,0.22,0,1.09,0.65,0,0,0,6.09,0.43,2.39,15.4
438,Conor Coady,ENG,DF,Everton,Premier League,29,1993,7,7,620,6.9,0.14,0.29,0.14,50,0.5,1,5,0,0,0,35.8,42.2,84.9,902,305.9,7.54,7.97,94.5,18.8,19.9,94.9,9.13,13.8,66.3,0.14,0.29,3.33,0.14,0,2.61,42.2,40,2.17,2.03,0.14,2.61,2.46,0,0,0,0,0,29.1,2.17,10.9,0.58,38.8,1.3,0.14,0.14,35.8,0.14,0.87,0.43,0.29,0.58,0.58,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0.43,0.43,0.29,0.14,0,0.14,0.29,50,0.14,3.04,0.72,23.8,1.16,1.88,0,1.16,1.16,0,0,1.16,1.59,7.1,0,52.2,13.8,35.9,17.8,1.3,0.43,50.1,0,0,0,0,0,29.4,157.2,98,1.59,0.29,0,0.14,0.29,33.5,33,98.7,0.29,0.14,0,0,1.01,1.01,0.14,0,0.43,0,0,0,6.81,2.17,1.3,62.5
439,Marcus Coco,FRA,DFMF,Nantes,Ligue 1,26,1996,6,3,207,2.3,0,0.87,0,0,0,0,22,0,0,0,31.3,42.6,73.5,513.5,237.4,18.3,20,91.3,10,13,76.7,2.61,7.39,35.3,0,1.3,2.17,0.87,0.87,3.48,42.6,37.4,5.22,0.87,0,5.22,0.87,2.61,0.43,0,0.43,0,25.7,7.39,9.57,5.22,30.9,0.43,3.91,0,31.3,0,1.74,0.87,1.74,2.17,2.17,0,0,0,0,0,0,0,0,0,0,0,0,3.48,3.04,2.61,0,0.87,0.87,2.61,33.3,1.74,16.1,4.35,27,8.7,4.35,3.04,4.35,1.3,0,3.04,3.04,6.52,0.87,0,58.7,4.35,19.6,24.3,20.9,3.48,54.8,0,0.43,0,0,0,33.9,257,181.7,7.83,2.61,0.43,2.61,2.17,42.2,34.3,81.4,4.35,0,0,0,2.17,2.61,0.87,2.61,3.04,0,0,0,9.13,2.61,3.04,46.2
440,Alexandre Coeff,FRA,DF,Auxerre,Ligue 1,30,1992,6,5,496,5.5,0,0,0,0,0,0,0,0,0,0,43.5,52.2,83.3,1043.1,315.3,8.36,10.2,82.1,25.3,27.5,92.1,9.82,14.2,69.2,0,0,1.82,0,0,1.82,52.2,51.5,0.73,0.36,0,3.09,2,0,0,0,0,0,37.6,3.64,10.9,8.91,38.7,3.82,0.18,0,43.5,0.18,1.09,1.09,0.55,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.36,0.36,0.55,0,0.18,0.91,20,0.73,4.36,1.64,37.5,2.55,1.82,0,1.27,0.73,0,0.55,2.18,3.09,6.18,0.18,62.9,12,39.5,27.1,0.91,0,62.2,0,0.36,0,0,0,40.4,239.6,105.1,1.27,0.36,0,0,0.18,42.9,42.7,99.6,0,0,0,0,0.36,0.18,0,0,0.36,0,0,0,8.55,1.64,1.09,60
441,Jack Colback,ENG,MF,Nott'ham Forest,Premier League,32,1989,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,25,27.9,89.7,437.1,106.4,10.7,11.4,93.8,10.7,11.4,93.8,2.86,4.29,66.7,0,0.71,3.57,0.71,0.71,2.14,27.9,26.4,1.43,1.43,0,6.43,0,0.71,0,0,0,0,20.7,2.14,5,22.9,2.86,1.43,0,0,25,0,0,1.43,0,0.71,0.71,0,0,0,0,0,0,0,0,0,0,0,0,4.29,3.57,2.14,2.14,0,0.71,0.71,100,0,25.7,6.43,25,12.1,11.4,2.14,0,0,0,0,0.71,5,0.71,0,37.9,3.57,15,20.7,4.29,0,37.1,0,0.71,0,0.71,0,26.4,139.3,65.7,2.86,1.43,0,0,3.57,23.6,22.1,93.9,0.71,0,0,0,2.14,0.71,0,0.71,3.57,0,0,0,8.57,1.43,0,100
442,Séamus Coleman,IRL,DF,Everton,Premier League,33,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,32,41,78,537,174,14,15,93.3,12,13,92.3,4,8,50,0,1,2,2,1,2,41,32,9,2,0,7,1,2,0,0,0,0,26,7,8,6,27,1,7,0,32,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,2,25,5,3,0,5,2,0,3,4,4,4,0,60,5,19,25,20,2,51,2,2,100,2,0,33,124,49,0,0,0,3,4,35,32,91.4,2,0,0,0,0,1,0,2,0,0,0,0,4,2,4,33.3
443,Álex Collado,ESP,MFFW,Elche,La Liga,23,1999,4,4,289,3.2,0.31,2.81,1.25,44.4,0.11,0.25,20.7,0,0,0,30.9,39.4,78.6,520.6,99.1,16.6,17.8,93,11.6,14.7,78.7,2.81,5,56.3,0,1.25,2.19,0.94,0.63,1.25,39.4,37.5,1.88,0,0,6.25,0.94,2.19,1.25,0.31,0,0,30.9,3.75,4.69,35.9,1.88,0.31,0.63,0,30.9,0,0.63,0.94,1.56,2.5,1.56,0.63,0,0.31,0,0,0.31,0.31,0,0,0,0,0,3.75,2.81,2.19,0.94,0.63,0.31,0.63,50,0.31,20.6,6.56,31.8,5,7.19,8.44,0.63,0.31,0,0.31,0.63,4.38,0.94,0,54.4,0.94,9.06,23.4,27.2,2.5,52.5,1.25,3.13,40,1.56,0.31,40.3,237.2,129.4,7.19,1.25,0.31,1.25,2.19,45,40.6,90.3,3.75,0,0,0,3.13,1.25,0.31,2.19,2.81,0,0,0,3.75,0.63,1.25,33.3
444,Omar Colley,GAM,DF,Sampdoria,Serie A,29,1992,8,7,675,7.5,0,0.27,0.13,50,0,0,9.5,0,0,0,39.6,45.2,87.6,836.7,258.5,10.1,10.9,92.7,21.7,23.7,91.6,6.27,8.8,71.2,0,0,2.8,0,0,2.27,45.2,42.1,3.07,1.73,0,2.8,0.8,0,0,0,0,0,34.7,2.8,7.73,30.8,10,2.53,0.27,0.27,39.6,0,0.67,0.8,0.13,0.13,0,0,0,0,0.13,0,0,0,0,0,0,0,0,2,1.33,1.33,0.67,0,0.8,1.2,66.7,0.4,6.4,2,31.3,4,2.27,0.13,1.2,0.13,0,1.07,2.13,4.13,6.27,0,56.7,9.33,30.7,27.1,0.8,0.4,53.7,0.13,0.13,100,0.13,0,33.7,173.6,63.6,1.2,0,0,0,0.13,33.3,32.9,98.8,0,0.13,0,0,0.67,1.6,0,0,1.33,0,0,0,8.27,3.07,2.27,57.5
