,S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1226,1227,Javier Llabrés,0,FW,Mallorca,La Liga,0,0,1,0,17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,240.0,40.0,15.0,15.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,25.0,5.0,10.0,5.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,5.0,0.0,0.0,0.0,5.0,0.0,55.0,20.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
1228,1229,Marcos Llorente,ESP,DFMF,Atlético Madrid,La Liga,27,1995,6,6,482,5.4,0.19,0.56,0.19,33.3,0.33,1.0,14.2,0.0,0.0,0.0,28.9,35.7,80.8,485.6,142.4,13.1,15.0,87.7,11.9,13.1,90.1,2.78,5.0,55.6,0.0,1.48,0.74,0.74,0.37,1.85,35.7,31.1,4.63,0.19,0.0,5.0,1.11,2.04,0.0,0.0,0.0,0.0,24.6,5.93,5.19,2.41,27.8,0.93,4.44,0.0,28.9,0.0,0.37,1.3,1.11,1.85,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.56,1.3,0.74,0.0,0.56,1.11,50.0,0.56,15.2,3.33,22.0,6.48,5.56,3.15,1.85,0.19,0.0,1.67,1.48,3.52,1.3,0.0,43.9,2.41,13.0,18.1,15.7,1.85,39.3,0.0,0.19,0.0,0.0,0.19,25.9,154.3,98.0,5.0,2.04,0.93,0.19,0.37,28.9,26.7,92.3,3.89,0.19,0.0,0.0,1.48,0.93,0.19,2.04,0.56,0.0,0.0,0.0,5.19,0.56,1.11,33.3
1230,1231,Giovani Lo Celso,ARG,MF,Villarreal,La Liga,26,1996,6,6,417,4.6,0.22,2.61,0.65,25.0,0.08,0.33,20.1,0.0,0.0,0.0,40.0,46.1,86.8,677.8,155.2,18.0,19.6,92.2,17.6,20.0,88.0,3.48,5.0,69.6,0.0,0.65,3.04,1.74,0.0,4.78,46.1,44.1,1.96,0.43,0.0,5.43,1.3,0.87,1.09,0.43,0.0,0.0,37.0,6.09,3.04,40.9,4.13,0.87,0.22,0.0,40.0,0.0,0.22,1.3,0.43,2.83,1.96,0.22,0.0,0.43,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.61,0.65,2.61,0.43,0.65,1.74,37.5,1.09,11.3,4.57,40.4,2.83,6.3,2.17,2.83,0.0,0.0,2.83,1.09,4.78,0.0,0.0,63.9,0.43,10.0,30.7,29.1,3.04,62.0,1.09,2.61,41.7,1.3,0.22,46.1,246.1,126.5,5.65,2.39,0.43,2.17,2.39,50.9,46.5,91.5,6.96,0.0,0.0,0.0,0.87,2.83,0.65,0.87,2.61,0.0,0.0,0.0,5.87,0.0,0.65,0.0
1241,1242,David López,ESP,DFMF,Girona,La Liga,33,1989,4,4,330,3.7,0.0,0.81,0.27,33.3,0.0,0.0,13.1,0.0,0.0,0.0,52.2,57.3,91.0,1080.5,228.1,14.9,16.2,91.7,28.6,29.7,96.4,8.11,10.3,78.9,0.0,0.0,2.97,0.0,0.0,1.35,57.3,54.3,2.97,2.43,0.0,5.95,0.54,0.0,0.0,0.0,0.0,0.0,47.0,3.51,6.76,10.0,44.1,1.89,0.0,0.0,52.2,0.0,0.27,1.08,0.27,0.54,0.27,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.08,0.27,1.08,0.27,0.27,0.81,33.3,0.54,6.76,3.24,48.0,2.43,3.51,0.81,1.35,0.81,0.0,0.54,1.35,2.97,2.7,0.27,66.2,6.22,27.0,38.6,4.32,1.35,63.5,0.0,0.0,0.0,0.0,0.0,43.0,202.4,93.2,2.43,0.27,0.0,0.54,0.0,47.3,45.7,96.6,0.27,0.27,0.0,0.0,2.16,0.81,0.27,0.0,1.08,0.0,0.0,0.0,9.73,2.16,2.43,47.1
1242,1243,Diego López,ESP,GK,Rayo Vallecano,La Liga,40,1981,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,29.0,75.9,525.0,235.0,5.0,5.0,100.0,10.0,11.0,90.9,7.0,13.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20.0,9.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,7.0,3.0,21.0,1.0,0.0,4.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,27.0,30.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,12.0,71.0,40.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1245,1246,Unai López,ESP,MF,Rayo Vallecano,La Liga,26,1995,7,4,356,4.0,0.25,2.0,0.75,37.5,0.13,0.33,19.9,0.5,0.0,0.0,58.3,70.0,83.2,1366.3,321.8,17.8,19.5,91.0,25.5,28.5,89.5,14.0,19.8,70.9,0.25,0.75,8.25,0.75,0.25,6.25,70.0,65.3,4.75,2.5,0.0,3.0,6.25,1.0,1.5,0.5,0.75,0.0,48.5,6.75,14.8,3.5,63.3,2.5,0.25,0.25,58.3,0.25,1.25,2.5,1.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.5,1.25,0.25,0.25,1.25,20.0,1.0,9.75,4.25,43.6,3.25,5.5,1.0,1.0,0.25,0.0,0.75,1.5,3.5,1.25,0.0,81.3,1.75,12.0,53.3,19.8,1.25,76.3,0.0,0.25,0.0,0.0,0.0,52.3,223.3,96.3,3.5,0.75,0.25,1.5,1.5,61.0,58.3,95.5,1.0,0.0,0.0,0.0,1.5,1.0,0.0,1.0,1.5,0.0,0.0,0.0,11.0,0.5,1.25,28.6
1252,1253,Anthony Lozano,HON,FW,Cádiz,La Liga,29,1993,5,4,340,3.8,0.0,2.11,0.53,25.0,0.0,0.0,14.4,0.0,0.0,0.0,10.3,16.1,63.9,144.5,23.4,6.58,8.95,73.5,2.89,5.0,57.9,0.53,1.58,33.3,0.0,0.53,0.53,0.26,0.0,0.53,16.1,15.0,1.05,0.0,0.0,7.11,0.0,0.0,0.0,0.0,0.0,0.0,8.68,2.63,4.74,1.05,9.47,1.32,0.0,0.0,10.3,0.0,0.26,0.26,0.53,1.58,0.79,0.0,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,2.63,22.7,2.63,4.21,4.74,0.0,0.0,0.0,0.0,0.79,0.79,1.32,0.0,30.8,1.84,3.68,17.4,12.4,4.21,29.7,1.05,2.89,36.4,1.05,0.53,18.9,85.3,60.5,3.16,1.84,1.32,5.26,0.79,36.3,23.2,63.8,3.95,0.53,0.0,0.0,2.89,2.37,0.53,0.0,0.0,0.0,0.0,0.0,3.42,5.26,6.58,44.4
1254,1255,Pol Lozano,ESP,MF,Espanyol,La Liga,23,1999,2,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,70.0,57.1,1000.0,450.0,10.0,20.0,50.0,20.0,20.0,100.0,10.0,30.0,33.3,0.0,0.0,10.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,60.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,25.0,40.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,90.0,0.0,40.0,40.0,20.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,50.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0
1257,1258,José Luis Gayà,ESP,DF,Valencia,La Liga,27,1995,4,4,326,3.6,0.0,1.39,0.83,60.0,0.0,0.0,27.4,0.28,0.0,0.0,56.4,76.7,73.6,1100.0,465.0,24.2,25.6,94.6,23.6,28.1,84.2,8.61,21.7,39.7,0.28,2.22,3.06,1.67,1.39,3.06,76.7,56.4,20.3,4.44,0.0,6.67,5.56,6.67,3.61,0.83,2.78,0.0,36.9,14.7,25.0,55.8,5.83,1.94,12.2,0.28,56.4,0.83,2.22,1.11,1.94,4.17,2.22,1.11,0.28,0.28,0.28,0.0,0.28,0.0,0.28,0.0,0.0,0.0,0.0,2.5,1.39,1.67,0.56,0.28,0.28,0.83,33.3,0.56,10.0,3.61,36.1,6.11,2.78,1.11,0.0,0.0,0.0,0.0,0.83,3.33,3.06,0.0,85.3,2.5,26.7,33.1,29.2,1.11,65.0,1.11,1.67,66.7,1.39,0.0,50.0,261.4,146.7,6.67,1.39,0.28,0.28,0.28,51.9,49.4,95.2,1.67,0.0,0.0,0.0,0.83,0.83,0.28,6.67,1.39,0.0,0.0,0.0,8.61,0.83,0.28,75.0
1258,1259,José Luis Morales,ESP,FW,Villarreal,La Liga,35,1987,7,1,158,1.8,0.56,2.78,2.78,100.0,0.2,0.2,13.4,0.0,0.0,0.0,8.33,12.8,65.2,95.0,39.4,5.0,6.11,81.8,2.78,3.33,83.3,0.0,0.56,0.0,0.0,1.11,0.0,0.56,0.0,1.67,12.8,11.7,1.11,0.0,0.0,2.78,0.0,0.56,0.0,0.0,0.0,0.0,8.33,3.33,1.11,2.78,6.67,1.11,0.0,0.56,8.33,0.0,0.0,0.0,2.22,3.89,2.22,0.0,0.0,0.56,1.11,0.0,0.56,0.0,0.0,0.0,0.56,0.0,0.0,0.56,0.56,0.56,0.0,0.0,0.0,1.67,0.0,1.67,9.44,1.67,17.6,0.56,5.0,3.89,1.11,0.0,0.0,1.11,0.0,0.56,0.0,0.0,22.8,0.56,2.22,8.89,13.9,6.67,21.7,0.0,1.11,0.0,0.0,0.0,15.0,114.4,94.4,2.78,1.67,1.11,2.22,1.11,26.7,16.7,62.5,8.89,0.0,0.0,0.0,1.11,1.11,0.0,0.56,0.56,0.0,0.0,0.0,2.78,1.67,1.11,60.0
1264,1265,Andriy Lunin,UKR,GK,Real Madrid,La Liga,23,1999,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.5,94.7,683.0,371.0,4.5,4.5,100.0,16.0,16.0,100.0,6.5,8.0,81.3,0.0,0.0,0.0,0.0,0.0,0.0,28.5,23.0,5.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.5,3.0,3.5,19.0,0.0,0.0,6.0,27.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,26.0,29.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,18.5,65.5,27.0,0.0,0.0,0.0,0.0,0.0,17.5,17.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1270,1271,Awer Mabil,AUS,MF,Cádiz,La Liga,27,1995,4,1,155,1.7,0.0,1.18,0.59,50.0,0.0,0.0,20.2,0.0,0.0,0.0,15.9,27.1,58.7,237.6,88.2,7.06,8.24,85.7,7.65,12.4,61.9,0.59,4.12,14.3,0.0,0.59,1.18,0.0,0.0,1.76,27.1,24.7,2.35,0.59,0.0,4.12,1.76,2.94,1.18,0.59,0.59,0.0,17.6,2.94,6.47,1.18,24.1,0.59,0.59,0.0,15.9,0.0,1.76,1.76,1.76,0.59,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.59,0.0,0.0,1.18,0.0,1.76,0.0,1.76,9.41,2.94,31.3,1.18,3.53,4.71,1.18,0.59,0.0,0.59,0.0,1.18,0.59,0.0,39.4,1.76,6.47,17.6,20.0,0.59,37.6,1.18,1.18,100.0,1.18,0.0,27.6,164.1,97.1,4.71,2.94,0.0,3.53,1.76,38.2,28.2,73.8,5.29,0.0,0.0,0.0,0.0,1.76,0.0,2.94,0.59,0.0,0.0,0.0,4.12,0.59,2.35,20.0
1275,1276,Pablo Maffeo,ESP,DF,Mallorca,La Liga,25,1997,7,7,630,7.0,0.14,0.71,0.14,20.0,0.2,1.0,14.3,0.0,0.0,0.0,23.6,34.0,69.3,435.1,183.1,11.4,12.4,92.0,8.86,12.9,68.9,2.86,7.43,38.5,0.0,0.86,1.57,0.71,0.57,2.29,34.0,27.4,6.57,0.14,0.0,3.29,1.57,2.14,0.0,0.0,0.0,0.0,15.3,6.14,12.6,5.14,20.6,1.0,6.43,0.0,23.6,0.0,0.43,0.71,0.86,2.0,1.43,0.14,0.14,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,1.57,1.29,1.29,0.29,0.0,0.43,1.86,23.1,1.43,10.3,1.86,18.1,5.57,3.14,1.57,2.86,0.86,0.14,2.0,0.86,2.43,2.57,0.0,45.9,3.71,15.9,19.6,13.3,2.0,39.4,0.86,1.71,50.0,1.14,0.0,24.9,138.4,77.4,2.29,1.0,0.29,0.86,1.14,30.4,26.7,87.8,1.14,0.29,0.0,0.0,1.29,1.57,0.0,2.14,1.29,0.0,0.0,0.0,3.86,1.14,0.57,66.7
1289,1290,Nemanja Maksimovi?,SRB,MF,Getafe,La Liga,27,1995,6,4,322,3.6,0.0,0.28,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,18.6,22.2,83.8,312.2,47.5,10.0,11.7,85.7,6.39,7.5,85.2,1.67,1.94,85.7,0.0,0.28,0.83,0.0,0.0,1.67,22.2,21.1,1.11,0.83,0.0,4.72,0.0,0.0,0.28,0.0,0.0,0.0,16.4,1.67,4.17,3.61,15.3,2.5,0.0,0.0,18.6,0.0,0.83,0.56,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.94,1.11,1.39,0.0,0.56,0.56,100.0,0.0,15.6,3.89,25.0,4.17,8.06,3.33,2.5,0.83,0.0,1.67,2.22,4.72,1.39,0.0,31.9,1.94,8.06,19.4,5.56,0.83,30.8,0.0,0.0,0.0,0.0,0.0,14.2,68.9,32.2,0.56,0.56,0.0,0.0,1.11,15.6,15.0,96.4,0.56,0.0,0.0,0.0,1.39,0.28,0.0,0.0,1.94,0.0,0.0,0.0,6.67,0.83,1.67,33.3
1294,1295,Hugo Mallo,ESP,DF,Celta Vigo,La Liga,31,1991,7,7,601,6.7,0.0,0.6,0.15,25.0,0.0,0.0,10.8,0.0,0.0,0.0,44.9,58.5,76.8,833.4,357.9,19.7,22.7,86.8,19.4,25.2,76.9,5.37,8.36,64.3,0.0,0.15,2.84,1.04,0.6,4.33,58.5,47.6,10.9,1.64,0.15,5.52,1.04,2.54,0.15,0.0,0.15,0.0,36.0,8.96,13.6,3.28,41.8,2.54,9.1,0.0,44.9,0.15,0.6,2.24,2.39,1.04,0.9,0.0,0.0,0.15,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.09,0.9,1.04,0.75,0.3,0.75,1.04,71.4,0.3,13.6,3.13,23.1,5.67,6.27,1.64,1.79,0.15,0.0,1.64,0.6,2.69,2.54,0.0,69.3,2.54,18.4,33.0,21.2,1.64,58.7,0.45,0.6,75.0,0.45,0.0,37.8,156.7,81.3,4.03,1.04,0.15,1.04,0.9,46.6,42.8,92.0,2.69,0.3,0.0,0.0,2.84,1.19,0.3,2.54,0.9,0.0,0.15,0.0,7.01,2.99,1.49,66.7
1295,1296,Mickael Malsa,MTQ,MF,Valladolid,La Liga,26,1995,2,0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,195.0,55.0,15.0,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,20.0,5.0,25.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,10.0,15.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,95.0,80.0,5.0,5.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,50.0
1296,1297,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,2000,8,8,720,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,34.5,76.4,654.6,357.5,5.75,5.88,97.9,14.1,14.5,97.4,6.5,14.1,46.0,0.0,0.0,0.13,0.0,0.0,0.13,34.5,26.8,7.75,3.25,0.0,4.13,1.13,0.0,0.0,0.0,0.0,0.0,22.4,1.0,11.1,20.8,8.5,0.25,0.0,4.63,26.4,0.0,0.88,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,32.4,37.1,0.5,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.5,77.4,36.1,0.13,0.0,0.0,0.0,0.0,20.5,20.5,100.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
1300,1301,Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,28,1994,8,8,720,8.0,0.0,0.25,0.0,0.0,0.0,0.0,31.3,0.0,0.0,0.0,46.8,53.3,87.8,775.1,324.0,23.6,24.6,95.9,19.4,21.9,88.6,3.13,5.63,55.6,0.0,0.25,2.0,0.13,0.13,2.5,53.3,48.5,4.75,1.75,0.0,3.13,0.5,0.25,0.0,0.0,0.0,0.0,42.1,4.13,7.0,38.1,9.13,2.38,3.0,0.38,46.8,0.13,0.75,1.13,0.5,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.88,1.25,1.25,0.63,0.0,0.5,1.13,44.4,0.63,13.1,3.88,29.5,7.88,4.5,0.75,2.5,0.75,0.0,1.75,1.88,3.75,3.63,0.0,64.3,7.75,30.5,33.8,4.25,0.38,60.0,0.25,0.75,33.3,0.38,0.0,42.1,171.3,87.3,3.38,0.75,0.13,0.13,0.88,41.6,40.4,97.0,0.75,0.25,0.0,0.0,2.38,1.75,0.0,0.25,1.25,0.0,0.0,0.0,7.75,1.75,1.63,51.9
1301,1302,Aïssa Mandi,ALG,DF,Villarreal,La Liga,30,1991,2,0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,65.0,92.3,1040.0,505.0,35.0,35.0,100.0,20.0,25.0,80.0,5.0,5.0,100.0,0.0,0.0,5.0,0.0,0.0,5.0,65.0,55.0,10.0,5.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,45.0,10.0,5.0,5.0,60.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,0.0,80.0,5.0,40.0,25.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,30.0,270.0,225.0,5.0,0.0,0.0,0.0,0.0,40.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
1309,1310,Maranhão,BRA,FW,Valencia,La Liga,25,1996,6,2,179,2.0,0.5,4.5,0.5,11.1,0.11,1.0,9.9,0.0,0.0,0.0,9.0,13.0,69.2,152.0,40.0,4.5,5.5,81.8,3.5,5.0,70.0,1.0,1.0,100.0,0.0,1.0,1.0,0.5,0.0,2.0,13.0,11.5,1.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,2.5,1.0,0.5,9.5,2.5,0.0,0.0,9.0,0.0,0.0,0.5,0.5,3.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,16.0,0.0,0.0,1.5,7.0,7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,29.5,0.0,0.0,14.0,17.5,7.0,28.0,3.0,4.0,75.0,3.0,0.5,20.5,41.0,21.5,1.5,1.0,0.0,3.5,3.5,29.0,22.0,75.9,7.5,0.5,0.5,0.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.5,28.6
1310,1311,Marcão,BRA,DF,Sevilla,La Liga,26,1996,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,25.0,76.0,435.0,123.0,5.0,7.0,71.4,9.0,10.0,90.0,5.0,8.0,62.5,0.0,0.0,0.0,0.0,0.0,1.0,25.0,23.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,4.0,21.0,3.0,0.0,0.0,0.0,19.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,3.0,60.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,36.0,7.0,27.0,10.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,16.0,87.0,53.0,0.0,0.0,0.0,1.0,0.0,21.0,21.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
1312,1313,Agustín Marchesín,ARG,GK,Celta Vigo,La Liga,34,1988,7,7,630,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,31.7,67.1,652.9,396.1,3.71,3.71,100.0,9.0,9.0,100.0,8.43,18.9,44.7,0.0,0.0,0.29,0.0,0.0,0.0,31.7,22.6,9.14,2.71,0.0,1.57,1.0,0.0,0.0,0.0,0.0,0.0,14.4,1.29,16.0,1.71,24.3,0.0,0.0,4.14,21.3,0.0,0.57,0.43,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,29.6,33.6,0.43,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.0,17.3,77.1,41.4,0.0,0.0,0.0,0.0,0.0,15.4,15.4,100.0,0.0,0.14,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0
1317,1318,Óscar de Marcos,ESP,DF,Athletic Club,La Liga,33,1989,8,8,720,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,61.8,82.8,923.1,422.0,23.4,26.3,89.0,21.8,24.8,87.9,5.5,9.25,59.5,0.25,2.13,6.0,2.13,0.63,8.0,61.8,50.4,11.4,1.25,0.0,4.5,1.75,2.38,0.0,0.0,0.0,0.0,36.9,14.6,10.3,2.13,46.0,2.38,10.1,0.38,51.1,0.38,1.0,1.88,1.88,3.75,3.13,0.5,0.0,0.0,0.13,0.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0,1.88,0.5,0.88,1.0,0.0,1.63,3.0,54.2,1.38,10.8,3.0,27.9,3.5,5.5,1.75,1.63,0.38,0.0,1.25,1.25,3.13,1.75,0.0,69.8,2.5,16.6,35.4,21.5,0.63,58.6,0.38,0.75,50.0,0.5,0.13,37.0,153.5,96.1,4.63,2.38,0.0,0.75,0.75,43.6,41.6,95.4,1.0,0.13,0.0,0.0,1.75,0.5,0.25,2.38,0.5,0.0,0.0,0.0,9.5,1.13,1.0,52.9
